Opportunity ID,Opportunity Name,Entity Owning Equipment,Site Name,Channel Partner,Date Created,Date Closed (Forecast),Date Closed (Actual),Opportunity Value,Bid Currency,Opportunity State,Current Pipeline Stage,Expected Revenue,Date of Last Activity,Date of Next Activity,Probability,State Reason,Won,Trial?,Opportunity Product Quantity,Pricebook Name,Opportunity Owner,Product Family,Archived Field - Product Type ,Product ID,Organization Name,Owner Name,Channel Type,GAP Strategy,GAP Current State,Invoice Number,Purchase Order
35899989,Artemis/Finning Cat 793 Mag-Shield,Artemis Gold Inc.,,Finning Canada,2022-12-01 17:50:06,2023-12-20 00:00:00,2023-12-12 00:00:00,17000.0,CAD,WON,Following-up PO,17000.0,2024-12-19 21:45:53,2024-01-26 01:00:00,100,,TRUE,FALSE,1.0,,2201432;Stacy Dukart,,Mag-Shield,,Artemis Gold Inc.,Stacy Dukart,Reseller,,,B102142,7341446
35902086,CNRL D11T Mag-Shield Kit,Canadian Natural Resources Ltd. (CNRL),,MagShield Pty Ltd,2022-12-01 21:05:23,2022-12-08 00:00:00,2022-12-01 00:00:00,12465.0,CAD,WON,Presenting Proposal,12465.0,2025-09-15 20:48:16,,100,,TRUE,FALSE,1.0,,2201432;Stacy Dukart,,Mag-Shield,,Canadian Natural Resources Ltd. (CNRL),Stacy Dukart,End User,,,B101732,3309288
35902853,Westmoreland D10T,Coal Valley Mine,,MagShield Pty Ltd,2022-12-01 22:24:13,2023-11-23 00:00:00,,10174.0,CAD,SUSPENDED,Presenting Proposal,10174.0,2023-05-01 20:27:06,,50,,FALSE,FALSE,1.0,,2201432;Stacy Dukart,,Mag-Shield,,Coal Valley Mine,Stacy Dukart,End User,,,,
35902872,Westmoreland D11T Mag-Shield,Coal Valley Mine,,MagShield Pty Ltd,2022-12-01 22:26:00,2023-12-20 00:00:00,,13850.0,CAD,SUSPENDED,Presenting Proposal,13850.0,2023-05-01 20:27:40,,50,,FALSE,FALSE,2.0,,2201432;Stacy Dukart,,Mag-Shield,,Coal Valley Mine,Stacy Dukart,End User,,,,
35903706,Rio Tinto Weipa 789D,Rio Tinto Limited,,Zemek Engineering Pty Ltd,2022-12-02 01:03:47,2022-12-02 00:00:00,2022-12-02 00:00:00,8510.0,CAD,WON,Qualifying Opportunity,8510.0,2025-01-02 14:45:31,2023-01-16 01:00:00,100,,TRUE,FALSE,1.0,,2036719;Murray Laidlaw,,Mag-Shield,,Rio Tinto Limited,Murray Laidlaw,Distributor,,,B101754,20779
35903722,Rio Tinto Weipa CAT 777G MagShield,Rio Tinto Limited,,Zemek Engineering Pty Ltd,2022-12-02 01:10:42,2022-12-02 00:00:00,2022-12-02 00:00:00,14472.0,CAD,WON,Qualifying Opportunity,14472.0,2025-01-02 14:45:31,2023-01-16 01:00:00,100,,TRUE,FALSE,2.0,,2036719;Murray Laidlaw,,Mag-Shield,,Rio Tinto Limited,Murray Laidlaw,Distributor,,,B101754,20779
35903969,Rio Tinto Weipa 776/777 -EV kit,Rio Tinto Limited,,Zemek Engineering Pty Ltd,2022-12-02 02:46:41,2022-12-02 00:00:00,2022-12-02 00:00:00,21274.0,CAD,WON,Qualifying Opportunity,21274.0,2024-12-19 21:46:29,2023-01-16 01:00:00,100,,TRUE,FALSE,2.0,,2036719;Murray Laidlaw,,Mag-Shield,,Rio Tinto Limited,Murray Laidlaw,Distributor,,,B101754,20779
35903975,"Rio Tinto Weipa CAT 777 B,C,D,K MagShield",Rio Tinto Limited,,Zemek Engineering Pty Ltd,2022-12-02 02:50:03,2022-12-02 00:00:00,2022-12-02 00:00:00,5811.0,CAD,WON,Qualifying Opportunity,5811.0,2025-01-02 14:45:31,2023-01-16 01:00:00,100,,TRUE,FALSE,1.0,,2036719;Murray Laidlaw,,Mag-Shield,,Rio Tinto Limited,Murray Laidlaw,Distributor,,,B101754,20779
35936608,Finning SASK Cat 777 Mag-Shield,Finning Canada,,MagShield Pty Ltd,2022-12-07 16:41:01,2023-03-09 00:00:00,2023-03-02 00:00:00,8362.0,CAD,WON,Qualifying Opportunity,8362.0,2025-10-21 14:50:26,2023-04-16 18:00:00,100,,TRUE,FALSE,1.0,,2198544;Jorge Infanta,,Mag-Shield,,Finning Canada,Jorge Infanta,End User,,,B101822,191364
35936609,Finning SASK Cat 777 Mag-Shield,Finning Canada,,MagShield Pty Ltd,2022-12-07 16:41:19,2023-04-26 00:00:00,2023-04-12 00:00:00,8362.0,CAD,WON,Following-up PO,8362.0,2025-10-21 14:50:26,2023-05-27 18:00:00,100,,TRUE,FALSE,1.0,,2198544;Jorge Infanta,,Mag-Shield,,Finning Canada,Jorge Infanta,End User,,,B101864,192339
